attempts_week_start,counter,success_count,success_rate
2024-01-01,7184,3328,0.46325167037861914
2024-01-02,7135,3215,0.4505956552207428
2024-01-03,7077,2779,0.3926805143422354
2024-01-04,6621,2574,0.3887630267331219
2024-01-05,6003,2374,0.3954689322005664
2024-01-06,6906,3141,0.45482189400521283
2024-01-07,6756,3000,0.44404973357015987
2024-01-08,6894,2990,0.4337104728749637
2024-01-09,7484,3344,0.44681988241582044
2024-01-10,8285,3652,0.4407966203983102
2024-01-11,7596,3598,0.47367035281727227
2024-01-12,6735,3363,0.49933184855233853
2024-01-13,10004,4243,0.4241303478608557
2024-01-14,6814,3917,0.5748459054886997
2024-01-15,6684,3891,0.5821364452423698
2024-01-16,6676,3531,0.5289095266626722
2024-01-17,6597,3470,0.5259966651508261
2024-01-18,6221,3106,0.4992766436264266
2024-01-19,5915,3030,0.5122569737954353
2024-01-20,7545,4161,0.5514910536779324
2024-01-21,7528,4215,0.5599096705632306
2024-01-22,7073,3843,0.5433338046090768
2024-01-23,7011,3824,0.5454286121808587
2024-01-24,7235,3718,0.513890808569454
2024-01-25,6481,2939,0.45347940132695574
2024-01-26,6078,3096,0.5093780848963475
2024-01-27,8088,4510,0.5576162215628091
2024-01-28,7280,3851,0.5289835164835165
2024-01-29,6849,3529,0.5152577018542853
2024-01-30,7021,3726,0.5306936333855576
2024-01-31,7040,3774,0.5360795454545455
2024-02-01,9632,3989,0.41414036544850497
2024-02-02,10387,3731,0.3591989987484355
2024-02-03,9491,4451,0.46897060372984933
2024-02-04,9074,4427,0.48787745206083316
2024-02-05,8302,3909,0.47085039749457963
2024-02-06,6684,2950,0.4413524835427888
2024-02-07,6262,2546,0.4065793676141808
2024-02-08,6178,2187,0.35399805762382647
2024-02-09,6358,2463,0.38738597043095313
2024-02-10,6919,2937,0.424483306836248
2024-02-11,5878,2341,0.3982647158897584
2024-02-12,6849,2892,0.422251423565484
2024-02-13,6420,2800,0.43613707165109034
2024-02-14,6498,2146,0.33025546321945215
2024-02-15,6783,1742,0.2568185168804364
2024-02-16,6195,2181,0.35205811138014526
2024-02-17,6580,3052,0.46382978723404256
2024-02-18,6530,3029,0.46385911179173045
2024-02-19,7645,3539,0.46291693917593196
2024-02-20,6928,3315,0.4784930715935335
2024-02-21,7253,3491,0.4813180752791948
2024-02-22,7730,3493,0.451875808538163
2024-02-23,6989,3391,0.4851910144512806
2024-02-24,7808,4243,0.5434170081967213
2024-02-25,6881,3705,0.538439180351693
2024-02-26,9880,5974,0.6046558704453441
2024-02-27,8713,5402,0.6199931137380925
2024-02-28,9219,5724,0.6208916368369671
2024-02-29,7292,4034,0.5532089961601755
2024-03-01,8390,4915,0.5858164481525626
2024-03-02,8419,5060,0.6010214989903789
2024-03-03,8757,5529,0.631380609797876
2024-03-04,9518,5434,0.5709182601386846
2024-03-05,9485,5553,0.5854507116499736
2024-03-06,9209,5839,0.6340536431751548
2024-03-07,9034,4541,0.5026566305069736
2024-03-08,17191,3989,0.23204002094119017
2024-03-09,17059,5653,0.3313793305586494
2024-03-10,14527,4536,0.31224616231844154
2024-03-11,14371,4157,0.28926309929719574
2024-03-12,15123,5142,0.3400119024003174
2024-03-13,15214,5728,0.37649533324569473
2024-03-14,17419,6655,0.3820540788793846
2024-03-15,14787,5177,0.350104821802935
2024-03-16,16863,6888,0.40846824408468246
2024-03-17,16956,7191,0.42409766454352443
2024-03-18,14435,6131,0.42473155524766193
2024-03-19,11489,3985,0.34685351205500914
2024-03-20,11587,3412,0.2944679382066109
2024-03-21,9780,2519,0.25756646216768914
2024-03-22,9856,1984,0.2012987012987013
2024-03-23,9806,2180,0.2223128696716296
2024-03-24,8294,2906,0.3503737641668676
2024-03-25,9611,3098,0.3223389865778795
2024-03-26,9339,2717,0.29093050647820967
2024-03-27,9417,2749,0.29191887012849105
2024-03-28,8941,2441,0.27301196734146066
2024-03-29,8236,1815,0.22037396794560465
2024-03-30,9145,2386,0.26090759978130124
2024-03-31,8360,2040,0.24401913875598086
2024-04-01,7910,1750,0.22123893805309736
2024-04-02,10061,3715,0.36924758970281285
2024-04-03,10957,4032,0.36798393720909006
2024-04-04,10067,3938,0.39117910002980033
2024-04-05,8352,2788,0.33381226053639845
2024-04-06,11179,4907,0.43894802755165935
2024-04-07,10196,4009,0.3931934091800706
2024-04-08,10296,3851,0.37402874902874905
2024-04-09,9975,3515,0.3523809523809524
2024-04-10,8884,2218,0.24966231427285007
2024-04-11,7629,1867,0.24472407917158212
2024-04-12,7543,1971,0.2613018692827787
2024-04-13,9319,3748,0.4021890760811246
2024-04-14,8626,2993,0.34697426385346625
2024-04-15,9215,3012,0.3268583830710798
2024-04-16,9866,3213,0.32566389620920333
2024-04-17,9729,3075,0.3160653715695344
2024-04-18,8826,2913,0.3300475866757308
2024-04-19,8460,2295,0.2712765957446808
2024-04-20,9746,3875,0.3975990149805048
2024-04-21,10288,4101,0.39861975116640747
2024-04-22,10185,4015,0.3942071674030437
2024-04-23,9973,4073,0.4084026872555901
2024-04-24,10117,4205,0.415637046555303
2024-04-25,9605,2998,0.3121290994273816
2024-04-26,7848,2556,0.3256880733944954
2024-04-27,9839,4498,0.45716028051631263
2024-04-28,9460,4078,0.4310782241014799
2024-04-29,9638,3801,0.39437642664453204
2024-04-30,9340,3942,0.4220556745182013
2024-05-01,9283,3717,0.400409350425509
2024-05-02,9204,2991,0.32496740547588004
2024-05-03,7608,2251,0.2958727655099895
2024-05-04,5773,2679,0.4640568162134072
2024-05-05,9840,4430,0.4502032520325203
2024-05-06,9342,3925,0.4201455791051167
2024-05-07,9646,3824,0.396433754924321
2024-05-08,9285,3695,0.3979536887452881
2024-05-09,7223,3316,0.4590890211823342
2024-05-10,7712,2374,0.3078319502074689
2024-05-11,9462,3954,0.4178820545339252
2024-05-12,9313,3933,0.4223128959518952
2024-05-13,8992,4082,0.4539590747330961
2024-05-14,7266,3913,0.5385356454720617
2024-05-15,7348,3844,0.5231355470876429
2024-05-16,6836,3356,0.4909303686366296
2024-05-17,5955,2578,0.4329135180520571
2024-05-18,9265,4298,0.4638963842417701
2024-05-19,8619,3627,0.42081447963800905
2024-05-20,6464,3499,0.541305693069307
2024-05-21,7502,3762,0.501466275659824
2024-05-22,9054,2794,0.3085928871217142
2024-05-23,11161,2866,0.25678702625212796
2024-05-24,6247,2863,0.4582999839923163
2024-05-25,9036,4665,0.5162682602921647
2024-05-26,9112,4133,0.45357769973661105
2024-05-27,9137,4162,0.4555105614534311
2024-05-28,7842,3813,0.4862280030604438
2024-05-29,8226,3974,0.48310235837588134
2024-05-30,8649,3427,0.3962307781246387
2024-05-31,7071,2791,0.3947107905529628
2024-06-01,7948,4500,0.5661801711122295
2024-06-02,8802,3994,0.4537605089752329
2024-06-03,8682,2453,0.28253858557935957
2024-06-04,7642,2986,0.39073540957864433
2024-06-05,9156,4351,0.4752075141983399
2024-06-06,8905,3661,0.4111173498034812
2024-06-07,7666,3003,0.39172971562744585
2024-06-08,8518,4120,0.4836816154026767
2024-06-09,7834,3538,0.4516211386264999
2024-06-10,7342,3424,0.46635794061563607
2024-06-11,6633,3388,0.5107794361525705
2024-06-12,8549,3477,0.40671423558310915
2024-06-13,7871,2984,0.37911320035573626
2024-06-14,7506,2448,0.3261390887290168
2024-06-15,7972,3590,0.4503261414952333
2024-06-16,6681,3354,0.5020206555904805
2024-06-17,6033,1852,0.3069782860931543
2024-06-18,6953,2386,0.3431612253703437
2024-06-19,6342,2058,0.32450331125827814
2024-06-20,6519,1865,0.28608682313238226
2024-06-21,5911,1518,0.25680933852140075
2024-06-22,6913,2500,0.3616374945754376
2024-06-23,7889,3189,0.4042337431867157
2024-06-24,8087,3359,0.4153579819463336
2024-06-25,7529,2810,0.37322353566210653
2024-06-26,8533,3640,0.4265791632485644
2024-06-27,7955,3010,0.3783783783783784
2024-06-28,7633,2324,0.3044674439931875
2024-06-29,9571,3767,0.39358478737853936
2024-06-30,10155,3872,0.3812900049236829
2024-07-01,8681,3449,0.3973044580117498
2024-07-02,6713,3264,0.4862207656785342
2024-07-03,8004,3041,0.3799350324837581
2024-07-04,7615,2693,0.35364412344057783
2024-07-05,6922,2109,0.3046807281132621
2024-07-06,7773,3110,0.4001029203653673
2024-07-07,7491,2641,0.35255640101455077
2024-07-08,7205,2456,0.34087439278278975
2024-07-09,7420,2524,0.34016172506738546
2024-07-10,7843,2759,0.35177865612648224
2024-07-11,6632,2035,0.30684559710494574
2024-07-12,7581,2169,0.2861100118717847
2024-07-13,8236,2881,0.34980573093734824
2024-07-14,8611,2559,0.29717802810358845
2024-07-15,8922,1737,0.19468728984532616
2024-07-16,8414,1635,0.1943189921559306
2024-07-17,8986,2797,0.311261963053639
2024-07-18,8356,2280,0.2728578267113451
2024-07-19,9149,1988,0.21729150726855395
2024-07-20,10916,2881,0.26392451447416637
2024-07-21,10874,2953,0.2715652013978297
2024-07-22,10905,2792,0.2560293443374599
2024-07-23,10594,2923,0.27591089295827825
2024-07-24,10282,2680,0.26064967905076836
2024-07-25,8086,2457,0.30385852090032156
2024-07-26,6202,1985,0.3200580457916801
2024-07-27,7006,2717,0.38781044818726806
2024-07-28,8123,2679,0.3298042595100332
2024-07-29,8086,3085,0.38152362107346033
2024-07-30,8091,2753,0.34025460388085527
2024-07-31,8006,2500,0.31226580064951287
2024-08-01,7757,2197,0.2832280520819905
2024-08-02,6579,2037,0.30962152302781576
2024-08-03,6947,2944,0.42378004894198934
2024-08-04,8282,2938,0.354745230620623
2024-08-05,7903,2506,0.3170947741364039
2024-08-06,8209,3063,0.37312705567060545
2024-08-07,8117,3017,0.37168904767771344
2024-08-08,7537,2465,0.3270532041926496
2024-08-09,7232,2237,0.3093196902654867
2024-08-10,8519,3892,0.456861133935908
2024-08-11,8497,3695,0.4348593621278098
2024-08-12,7341,2786,0.3795123280207056
2024-08-13,8219,3466,0.4217058036257452
2024-08-14,6723,3045,0.45292280232039267
2024-08-15,6837,2368,0.34635073862805327
2024-08-16,7855,1949,0.24812221514958624
2024-08-17,9973,2955,0.2963000100270731
2024-08-18,8929,2577,0.28861014671295776
2024-08-19,9875,2585,0.26177215189873415
2024-08-20,11019,2713,0.24621108993556584
2024-08-21,21914,2928,0.13361321529615772
2024-08-22,17973,2869,0.15962833138596785
2024-08-23,14563,2615,0.1795646501407677
2024-08-24,12924,3361,0.2600588053234293
2024-08-25,11715,2652,0.22637644046094751
2024-08-26,11502,3508,0.3049904364458355
2024-08-27,11103,3364,0.3029811762586688
2024-08-28,11665,3246,0.2782683240462923
2024-08-29,11639,3036,0.26084715181716644
2024-08-30,11935,2888,0.24197737746124842
2024-08-31,12323,3814,0.3095025561957316
2024-09-01,12761,3773,0.29566648381788263
2024-09-02,12119,2739,0.2260087465962538
2024-09-03,13317,3878,0.2912067282420966
2024-09-04,12109,2752,0.22726897349079198
2024-09-05,12903,3317,0.2570719987599783
2024-09-06,12156,2651,0.21808160579137875
2024-09-07,13955,4075,0.2920100322465066
2024-09-08,9189,2428,0.26422896941995866
2024-09-09,13868,3438,0.24790885491779638
2024-09-10,13672,3763,0.2752340550029257
2024-09-11,12642,3125,0.24719190001582028
2024-09-12,11011,2619,0.23785305603487422
2024-09-13,11072,2939,0.2654443641618497
2024-09-14,12254,4109,0.33531907948425005
2024-09-15,12645,4181,0.3306445235270858
2024-09-16,12289,4027,0.32769143136138007
2024-09-17,12094,4083,0.337605424177278
2024-09-18,13270,4378,0.3299171062547099
2024-09-19,13943,4165,0.2987162016782615
2024-09-20,13686,3937,0.28766622826245797
2024-09-21,11804,3946,0.3342934598441206
2024-09-22,10059,4521,0.44944825529376675
2024-09-23,7780,4141,0.5322622107969152
2024-09-24,7614,3772,0.49540320462306275
2024-09-25,4638,4114,0.8870202673566192
2024-09-26,3908,3569,0.9132548618219037
2024-09-27,3709,3413,0.9201941224049609
2024-09-28,4469,4151,0.9288431416424257
2024-09-29,4520,4211,0.9316371681415929
2024-09-30,4215,3979,0.9440094899169632
2024-10-01,3940,3651,0.9266497461928934
2024-10-02,4131,3881,0.9394819656257565
2024-10-03,3996,3757,0.9401901901901902
2024-10-04,3582,3279,0.9154103852596315
2024-10-05,5513,5144,0.9330672954834028
2024-10-06,5403,5077,0.9396631501017954
2024-10-07,5167,4827,0.9341977936907296
2024-10-08,5507,5160,0.936989286362811
2024-10-09,5244,4862,0.9271548436308161
2024-10-10,4524,4284,0.946949602122016
2024-10-11,4086,3711,0.908223201174743
2024-10-12,6641,6199,0.93344375847011
2024-10-13,6105,5701,0.9338247338247339
2024-10-14,5611,5291,0.9429691677062912
2024-10-15,4998,4720,0.9443777511004402
2024-10-16,4437,4158,0.9371196754563894
2024-10-17,4063,3835,0.9438838296825006
2024-10-18,3960,3748,0.9464646464646465
2024-10-19,5051,4776,0.9455553355771135
2024-10-20,11470,5214,0.45457715780296426
2024-10-21,5645,5357,0.9489813994685562
2024-10-22,5609,5290,0.9431271171331789
2024-10-23,4953,4609,0.9305471431455683
2024-10-24,4323,4067,0.9407818644459865
2024-10-25,4008,3785,0.9443612774451098
2024-10-26,5185,4840,0.9334619093539055
2024-10-27,5770,5385,0.9332755632582322
2024-10-28,5252,4951,0.9426884996191927
2024-10-29,5271,4927,0.9347372415101499
2024-10-30,5842,5377,0.9204039712427251
2024-10-31,5174,4825,0.9325473521453421
2024-11-01,4551,4217,0.9266095363656339
2024-11-02,6355,5911,0.9301337529504328
2024-11-03,5520,5108,0.9253623188405797
2024-11-04,6540,6113,0.9347094801223241
2024-11-05,6342,5572,0.8785871964679912
2024-11-06,5775,5408,0.9364502164502164
2024-11-07,5231,4915,0.9395909004014529
2024-11-08,5025,4722,0.9397014925373134
2024-11-09,7294,6855,0.9398135453797641
2024-11-10,6153,5328,0.8659190638712823
2024-11-11,6219,5685,0.9141341051616015
2024-11-12,6084,5701,0.9370479947403024
2024-11-13,5947,5532,0.9302169160921473
2024-11-14,5241,4883,0.9316924251097118
2024-11-15,4588,4277,0.9322144725370531
2024-11-16,6604,6219,0.9417019987886129
2024-11-17,6784,6319,0.9314563679245284
2024-11-18,6487,6082,0.9375674425774626
2024-11-19,6709,6291,0.9376956327321508
2024-11-20,6108,5765,0.9438441388343156
2024-11-21,5974,5569,0.9322062269835956
2024-11-22,5350,5038,0.9416822429906542
2024-11-23,7498,7055,0.9409175780208056
2024-11-24,7042,6635,0.9422039193410963
2024-11-25,7242,6754,0.9326152996409831
2024-11-26,6268,5762,0.9192724952137843
2024-11-27,6491,5776,0.8898474811277153
2024-11-28,8339,6889,0.826118239597074
2024-11-29,12470,11565,0.9274258219727346
2024-11-30,8256,7799,0.9446463178294574
2024-12-01,7433,6995,0.9410735907439796
2024-12-02,7355,6896,0.9375934738273284
2024-12-03,8789,8256,0.9393560131983161
2024-12-04,7421,6951,0.9366662174909042
2024-12-05,5789,5433,0.9385040594230437
2024-12-06,5623,5277,0.9384670104926196
2024-12-07,9214,8668,0.9407423485999565
2024-12-08,8755,8240,0.9411764705882353
2024-12-09,8392,7781,0.9271925643469972
2024-12-10,7939,7363,0.9274467817105428
2024-12-11,6981,6470,0.9268013178627704
2024-12-12,6767,6349,0.9382296438599084
2024-12-13,5129,4812,0.9381945798401248
2024-12-14,7146,6551,0.9167366358802127
2024-12-15,6909,6441,0.9322622666087712
2024-12-16,6635,6229,0.9388093443858327
2024-12-17,6852,6394,0.9331582019848219
2024-12-18,7787,6953,0.8928984204443303
2024-12-19,7220,6525,0.9037396121883656
2024-12-20,6087,5686,0.9341218991292919
2024-12-21,7992,7500,0.9384384384384384
2024-12-22,7360,6555,0.890625
2024-12-23,644,606,0.9409937888198758
